Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
BERRA BODE-ETS,Aquiraz,LITORAL DE FORTALEZA,1166.9,N.I.,N.I.
LAGOA DA SERRA,Caucaia,LITORAL DE FORTALEZA,564.8,N.I.,N.I.
BOM PRINCIPIO,Caucaia,LITORAL DE FORTALEZA,752.8,N.I.,N.I.
PATOS DOS LIBERATOS,Chorozinho,LITORAL DE FORTALEZA,438.3,N.I.,N.I.
PACO MUNICIPAL,Itaitinga,LITORAL DE FORTALEZA,0,N.I.,N.I.
SEMAN,Itaitinga,LITORAL DE FORTALEZA,0,N.I.,N.I.
JUBAIA,Maranguape,LITORAL DE FORTALEZA,836.4,N.I.,N.I.
FAZENDA COLUMINJUBA,Maranguape,LITORAL DE FORTALEZA,331.4,N.I.,N.I.
BOQUEIRAO DO CESARIO,Beberibe,LITORAL DE FORTALEZA,518.4,N.I.,N.I.
VILA SOARES,Apuiarés,LITORAL DE PECEM,0,N.I.,N.I.
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,N.I.,N.I.
MISSI,Irauçuba,LITORAL DE PECEM,582.4,N.I.,N.I.
POCO DOCE,Paracuru,LITORAL DE PECEM,0,N.I.,N.I.
JARDIM DO MEIO,Paracuru,LITORAL DE PECEM,0,N.I.,N.I.
JUREMA,Paramoti,LITORAL DE PECEM,0,N.I.,N.I.
ASSENTAMENTO PAPEL,Paramoti,LITORAL DE PECEM,0,N.I.,N.I.
SAO JOAQUIM,Itapajé,LITORAL DE PECEM,533.9,N.I.,N.I.
MELANCIAS,Tururu,LITORAL DE PECEM,0,N.I.,N.I.
ACUDE MUNDAU,Uruburetama,LITORAL DE PECEM,0,N.I.,N.I.
GURIU,Camocim,LITORAL NORTE,348.5,N.I.,N.I.
JATOBA,Camocim,LITORAL NORTE,816,N.I.,N.I.
JACUIPE NASCENTE,Amontada,LITORAL NORTE,0,N.I.,N.I.
NOVA CONQUISTA,Amontada,LITORAL NORTE,0,N.I.,N.I.
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,N.I.,N.I.
JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,631.3,N.I.,N.I.
TANGENTE,Massapê,LITORAL NORTE,750.8,N.I.,N.I.
AC. AYRES DE SOUZA,Sobral,LITORAL NORTE,114.3,N.I.,N.I.
CENTRO DE TREINAMENTO,Sobral,LITORAL NORTE,844.4,N.I.,N.I.
SALGADO DOS MACHADOS,Sobral,LITORAL NORTE,667.3,N.I.,N.I.
IBUGUACU,Granja,LITORAL NORTE,715,N.I.,N.I.
PARAZINHO,Granja,LITORAL NORTE,1031.5,N.I.,N.I.
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,N.I.,N.I.
SITIO FERNANDES,Aratuba,MACICO DE BATURITE,0,N.I.,N.I.
CAMARAO,Aratuba,MACICO DE BATURITE,0,N.I.,N.I.
SAO JOSE,Barreira,MACICO DE BATURITE,923.2,N.I.,N.I.
CARRAPATEIRA,Guaiúba,MACICO DE BATURITE,770.5,N.I.,N.I.
BOTIJA,Guaramiranga,MACICO DE BATURITE,0,N.I.,N.I.
FAZENDA BOA VISTA,Itapiúna,MACICO DE BATURITE,0,N.I.,N.I.
SERENO DE CIMA,Ocara,MACICO DE BATURITE,739.6,N.I.,N.I.
CURUPIRA,Ocara,MACICO DE BATURITE,689.5,N.I.,N.I.
NOVO HORIZONTE,Ocara,MACICO DE BATURITE,466.5,N.I.,N.I.
SERRAGEM,Ocara,MACICO DE BATURITE,639.9,N.I.,N.I.
ARISCO DOS MARIANOS,Ocara,MACICO DE BATURITE,622.1,N.I.,N.I.
ACUDE BATENTE,Ocara,MACICO DE BATURITE,0,N.I.,N.I.
SITIO PILOES,Pacoti,MACICO DE BATURITE,0,N.I.,N.I.
SANTO ANTôNIO,Quiterianópolis,SERTAO CENTRAL E INHAMUNS,0,N.I.,N.I.
CACHOEIRA,Itatira,SERTAO CENTRAL E INHAMUNS,316.5,N.I.,N.I.
